id,number,title,level,type,flags,course,day,lesson,depth,note
sec-set.prototype.values,24.2.4.17,Set.prototype.values ( ),4,built-in function,,,,,,
sec-set.prototype-%symbol.iterator%,24.2.4.18,Set.prototype [ %Symbol.iterator% ] ( ),4,built-in function,,,,,,
sec-set.prototype-%symbol.tostringtag%,24.2.4.19,Set.prototype [ %Symbol.toStringTag% ],4,,,,,,,
sec-properties-of-set-instances,24.2.5,Properties of Set Instances,3,,,,,,,
sec-set-iterator-objects,24.2.6,Set Iterator Objects,3,,,,,,,
sec-createsetiterator,24.2.6.1,"CreateSetIterator ( set, kind )",4,abstract operation,,,,,,
sec-%setiteratorprototype%-object,24.2.6.2,The %SetIteratorPrototype% Object,4,,,,,,,
sec-%setiteratorprototype%.next,24.2.6.2.1,%SetIteratorPrototype%.next ( ),5,built-in function,,,,,,
sec-%setiteratorprototype%-%symbol.tostringtag%,24.2.6.2.2,%SetIteratorPrototype% [ %Symbol.toStringTag% ],5,,,,,,,
sec-weakmap-objects,24.3,WeakMap Objects,2,,,,,,,
sec-weakmap-constructor,24.3.1,The WeakMap Constructor,3,,,,,,,
sec-weakmap-iterable,24.3.1.1,WeakMap ( [ iterable ] ),4,built-in function,,,,,,
sec-properties-of-the-weakmap-constructor,24.3.2,Properties of the WeakMap Constructor,3,,,,,,,
sec-weakmap.prototype,24.3.2.1,WeakMap.prototype,4,,,,,,,
sec-properties-of-the-weakmap-prototype-object,24.3.3,Properties of the WeakMap Prototype Object,3,,,,,,,
sec-weakmap.prototype.constructor,24.3.3.1,WeakMap.prototype.constructor,4,,,,,,,
sec-weakmap.prototype.delete,24.3.3.2,WeakMap.prototype.delete ( key ),4,built-in function,,,,,,
sec-weakmap.prototype.get,24.3.3.3,WeakMap.prototype.get ( key ),4,built-in function,,,,,,
sec-weakmap.prototype.getorinsert,24.3.3.4,"WeakMap.prototype.getOrInsert ( key, value )",4,built-in function,,,,,,
sec-weakmap.prototype.getorinsertcomputed,24.3.3.5,"WeakMap.prototype.getOrInsertComputed ( key, callback )",4,built-in function,,,,,,
sec-weakmap.prototype.has,24.3.3.6,WeakMap.prototype.has ( key ),4,built-in function,,,,,,
sec-weakmap.prototype.set,24.3.3.7,"WeakMap.prototype.set ( key, value )",4,built-in function,,,,,,
sec-weakmap.prototype-%symbol.tostringtag%,24.3.3.8,WeakMap.prototype [ %Symbol.toStringTag% ],4,,,,,,,
sec-properties-of-weakmap-instances,24.3.4,Properties of WeakMap Instances,3,,,,,,,
sec-weakset-objects,24.4,WeakSet Objects,2,,,,,,,
sec-weakset-constructor,24.4.1,The WeakSet Constructor,3,,,,,,,
sec-weakset-iterable,24.4.1.1,WeakSet ( [ iterable ] ),4,built-in function,,,,,,
sec-properties-of-the-weakset-constructor,24.4.2,Properties of the WeakSet Constructor,3,,,,,,,
sec-weakset.prototype,24.4.2.1,WeakSet.prototype,4,,,,,,,
sec-properties-of-the-weakset-prototype-object,24.4.3,Properties of the WeakSet Prototype Object,3,,,,,,,
sec-weakset.prototype.add,24.4.3.1,WeakSet.prototype.add ( value ),4,built-in function,,,,,,
sec-weakset.prototype.constructor,24.4.3.2,WeakSet.prototype.constructor,4,,,,,,,
sec-weakset.prototype.delete,24.4.3.3,WeakSet.prototype.delete ( value ),4,built-in function,,,,,,
sec-weakset.prototype.has,24.4.3.4,WeakSet.prototype.has ( value ),4,built-in function,,,,,,
sec-weakset.prototype-%symbol.tostringtag%,24.4.3.5,WeakSet.prototype [ %Symbol.toStringTag% ],4,,,,,,,
sec-properties-of-weakset-instances,24.4.4,Properties of WeakSet Instances,3,,,,,,,
