path,title,page_type,status,browser_compat,course,day,lesson,depth,note
Web/JavaScript/Reference/Errors/Function_label,SyntaxError: functions cannot be labelled,javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/Get_set_missing_private,TypeError: can't access/set private field or method: object is not the right class,javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/Getter_no_arguments,SyntaxError: getter functions must have no arguments,javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/Getter_only,"TypeError: setting getter-only property ""x""",javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/Hash_outside_class,SyntaxError: Unexpected '#' used outside of class body,javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/Identifier_after_number,SyntaxError: identifier starts immediately after numeric literal,javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/Illegal_character,SyntaxError: illegal character,javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/import_decl_module_top_level,SyntaxError: import declarations may only appear at top level of a module,javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/in_operator_no_object,TypeError: cannot use 'in' operator to search for 'x' in 'y',javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/Invalid_array_length,RangeError: invalid array length,javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/Invalid_assignment_left-hand_side,SyntaxError: invalid assignment left-hand side,javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/Invalid_BigInt_syntax,SyntaxError: invalid BigInt syntax,javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/Invalid_const_assignment,"TypeError: invalid assignment to const ""x""",javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/Invalid_date,RangeError: invalid date,javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/Invalid_derived_return,TypeError: derived class constructor returned invalid value x,javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/Invalid_for-in_initializer,SyntaxError: for-in loop head declarations may not have initializers,javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/Invalid_for-of_initializer,SyntaxError: a declaration in the head of a for-of loop can't have an initializer,javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/invalid_right_hand_side_instanceof_operand,TypeError: invalid 'instanceof' operand 'x',javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/is_not_iterable,TypeError: 'x' is not iterable,javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/JSON_bad_parse,SyntaxError: JSON.parse: bad parsing,javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/Key_not_weakly_held,TypeError: WeakSet key/WeakMap value 'x' must be an object or an unregistered symbol,javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/Label_not_found,SyntaxError: label not found,javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/Malformed_URI,URIError: malformed URI sequence,javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/Missing_bracket_after_list,SyntaxError: missing ] after element list,javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/Missing_colon_after_property_id,SyntaxError: missing : after property id,javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/Missing_curly_after_function_body,SyntaxError: missing } after function body,javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/Missing_curly_after_property_list,SyntaxError: missing } after property list,javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/Missing_formal_parameter,SyntaxError: missing formal parameter,javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/Missing_initializer_in_const,SyntaxError: missing = in const declaration,javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/Missing_name_after_dot_operator,SyntaxError: missing name after . operator,javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/Missing_parenthesis_after_argument_list,SyntaxError: missing ) after argument list,javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/Missing_parenthesis_after_condition,SyntaxError: missing ) after condition,javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/More_arguments_needed,TypeError: More arguments needed,javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/Negative_repetition_count,RangeError: repeat count must be non-negative,javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/No_non-null_object,"TypeError: ""x"" is not a non-null object",javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/No_properties,TypeError: null/undefined has no properties,javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/No_variable_name,SyntaxError: missing variable name,javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/Non_configurable_array_element,TypeError: can't delete non-configurable array element,javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/Not_a_constructor,"TypeError: ""x"" is not a constructor",javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/Not_a_function,"TypeError: ""x"" is not a function",javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/Not_a_valid_code_point,RangeError: argument is not a valid code point,javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/Not_defined,"ReferenceError: ""x"" is not defined",javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/Parameter_after_rest_parameter,SyntaxError: parameter after rest parameter,javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/Precision_range,RangeError: precision is out of range,javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/Private_double_initialization,TypeError: Initializing an object twice is an error with private fields/methods,javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/Private_setter_only,TypeError: getting private setter-only property,javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/Promise_any_all_rejected,AggregateError: No Promise in Promise.any was resolved,javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/Property_access_denied,"Error: Permission denied to access property ""x""",javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/Read-only,"TypeError: ""x"" is read-only",javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/Redeclared_parameter,"SyntaxError: redeclaration of formal parameter ""x""",javascript-error,,,,,,,
Web/JavaScript/Reference/Errors/Reduce_of_empty_array_with_no_initial_value,TypeError: Reduce of empty array with no initial value,javascript-error,,,,,,,
