path,title,page_type,status,browser_compat,course,day,lesson,depth,note
Web/API/PerformanceMark/PerformanceMark,PerformanceMark: PerformanceMark() constructor,web-api-constructor,,api.PerformanceMark.PerformanceMark,,,,,
Web/API/PerformanceMeasure,PerformanceMeasure,web-api-interface,,api.PerformanceMeasure,,,,,
Web/API/PerformanceMeasure/detail,PerformanceMeasure: detail property,web-api-instance-property,,api.PerformanceMeasure.detail,,,,,
Web/API/PerformanceNavigation,PerformanceNavigation,web-api-interface,deprecated,api.PerformanceNavigation,,,,,
Web/API/PerformanceNavigation/redirectCount,PerformanceNavigation: redirectCount property,web-api-instance-property,deprecated,api.PerformanceNavigation.redirectCount,,,,,
Web/API/PerformanceNavigation/toJSON,PerformanceNavigation: toJSON() method,web-api-instance-method,deprecated,api.PerformanceNavigation.toJSON,,,,,
Web/API/PerformanceNavigation/type,PerformanceNavigation: type property,web-api-instance-property,deprecated,api.PerformanceNavigation.type,,,,,
Web/API/PerformanceNavigationTiming,PerformanceNavigationTiming,web-api-interface,,api.PerformanceNavigationTiming,,,,,
Web/API/PerformanceNavigationTiming/activationStart,PerformanceNavigationTiming: activationStart property,web-api-instance-property,experimental,api.PerformanceNavigationTiming.activationStart,,,,,
Web/API/PerformanceNavigationTiming/confidence,PerformanceNavigationTiming: confidence property,web-api-instance-property,experimental,api.PerformanceNavigationTiming.confidence,,,,,
Web/API/PerformanceNavigationTiming/criticalCHRestart,PerformanceNavigationTiming: criticalCHRestart property,web-api-instance-property,experimental,api.PerformanceNavigationTiming.criticalCHRestart,,,,,
Web/API/PerformanceNavigationTiming/domComplete,PerformanceNavigationTiming: domComplete property,web-api-instance-property,,api.PerformanceNavigationTiming.domComplete,,,,,
Web/API/PerformanceNavigationTiming/domContentLoadedEventEnd,PerformanceNavigationTiming: domContentLoadedEventEnd property,web-api-instance-property,,api.PerformanceNavigationTiming.domContentLoadedEventEnd,,,,,
Web/API/PerformanceNavigationTiming/domContentLoadedEventStart,PerformanceNavigationTiming: domContentLoadedEventStart property,web-api-instance-property,,api.PerformanceNavigationTiming.domContentLoadedEventStart,,,,,
Web/API/PerformanceNavigationTiming/domInteractive,PerformanceNavigationTiming: domInteractive property,web-api-instance-property,,api.PerformanceNavigationTiming.domInteractive,,,,,
Web/API/PerformanceNavigationTiming/loadEventEnd,PerformanceNavigationTiming: loadEventEnd property,web-api-instance-property,,api.PerformanceNavigationTiming.loadEventEnd,,,,,
Web/API/PerformanceNavigationTiming/loadEventStart,PerformanceNavigationTiming: loadEventStart property,web-api-instance-property,,api.PerformanceNavigationTiming.loadEventStart,,,,,
Web/API/PerformanceNavigationTiming/notRestoredReasons,PerformanceNavigationTiming: notRestoredReasons property,web-api-instance-property,experimental,api.PerformanceNavigationTiming.notRestoredReasons,,,,,
Web/API/PerformanceNavigationTiming/redirectCount,PerformanceNavigationTiming: redirectCount property,web-api-instance-property,,api.PerformanceNavigationTiming.redirectCount,,,,,
Web/API/PerformanceNavigationTiming/toJSON,PerformanceNavigationTiming: toJSON() method,web-api-instance-method,,api.PerformanceNavigationTiming.toJSON,,,,,
Web/API/PerformanceNavigationTiming/type,PerformanceNavigationTiming: type property,web-api-instance-property,,api.PerformanceNavigationTiming.type,,,,,
Web/API/PerformanceNavigationTiming/unloadEventEnd,PerformanceNavigationTiming: unloadEventEnd property,web-api-instance-property,,api.PerformanceNavigationTiming.unloadEventEnd,,,,,
Web/API/PerformanceNavigationTiming/unloadEventStart,PerformanceNavigationTiming: unloadEventStart property,web-api-instance-property,,api.PerformanceNavigationTiming.unloadEventStart,,,,,
Web/API/PerformanceObserver,PerformanceObserver,web-api-interface,,api.PerformanceObserver,,,,,
Web/API/PerformanceObserver/disconnect,PerformanceObserver: disconnect() method,web-api-instance-method,,api.PerformanceObserver.disconnect,,,,,
Web/API/PerformanceObserver/observe,PerformanceObserver: observe() method,web-api-instance-method,,api.PerformanceObserver.observe,,,,,
Web/API/PerformanceObserver/PerformanceObserver,PerformanceObserver: PerformanceObserver() constructor,web-api-constructor,,api.PerformanceObserver.PerformanceObserver,,,,,
Web/API/PerformanceObserver/supportedEntryTypes_static,PerformanceObserver: supportedEntryTypes static property,web-api-static-property,,api.PerformanceObserver.supportedEntryTypes_static,,,,,
Web/API/PerformanceObserver/takeRecords,PerformanceObserver: takeRecords() method,web-api-instance-method,,api.PerformanceObserver.takeRecords,,,,,
Web/API/PerformanceObserverEntryList,PerformanceObserverEntryList,web-api-interface,,api.PerformanceObserverEntryList,,,,,
Web/API/PerformanceObserverEntryList/getEntries,PerformanceObserverEntryList: getEntries() method,web-api-instance-method,,api.PerformanceObserverEntryList.getEntries,,,,,
Web/API/PerformanceObserverEntryList/getEntriesByName,PerformanceObserverEntryList: getEntriesByName() method,web-api-instance-method,,api.PerformanceObserverEntryList.getEntriesByName,,,,,
Web/API/PerformanceObserverEntryList/getEntriesByType,PerformanceObserverEntryList: getEntriesByType() method,web-api-instance-method,,api.PerformanceObserverEntryList.getEntriesByType,,,,,
Web/API/PerformancePaintTiming,PerformancePaintTiming,web-api-interface,,api.PerformancePaintTiming,,,,,
Web/API/PerformancePaintTiming/paintTime,PerformancePaintTiming: paintTime property,web-api-instance-property,,api.PerformancePaintTiming.paintTime,,,,,
Web/API/PerformancePaintTiming/presentationTime,PerformancePaintTiming: presentationTime property,web-api-instance-property,,api.PerformancePaintTiming.presentationTime,,,,,
Web/API/PerformancePaintTiming/toJSON,PerformancePaintTiming: toJSON() method,web-api-instance-method,,api.PerformancePaintTiming.toJSON,,,,,
Web/API/PerformanceResourceTiming,PerformanceResourceTiming,web-api-interface,,api.PerformanceResourceTiming,,,,,
Web/API/PerformanceResourceTiming/connectEnd,PerformanceResourceTiming: connectEnd property,web-api-instance-property,,api.PerformanceResourceTiming.connectEnd,,,,,
